   vsn    | size  | free  | location |  modified  |   ship   | transit 
 USN-0064 |  2000 | 1535 | wn       | 2019-12-12 | 9033420406   | f
 UVLBI-36 |  2000 | 1596 | wn       | 2019-10-30 | 6674673655   | f
 HAY-0030 |  2000 |  779 | wn       | 2020-04-16 | 4902236861   | f
 USN-0179 |  2000 | 1730 | wn       | 2019-05-10 | 3891350131   | f
 USN-0198 |  2000 | 2000 | wn       | 2019-03-29 |              | f
 USN-0174 |  2000 | 2000 | wn       | 2019-03-29 |              | f
 OSOD+050 |  2000 | 2000 | wn       | 2019-03-29 |              | f
 IAA-0031 |  2000 | 2000 | wn       | 2019-03-29 |              | f
 MED-0032 |  3200 | 3200 | wn       | 2019-03-29 | 2579112093   | f
 JOD-0041 |  3200 | 3200 | wn       | 2019-03-29 | 2579061833   | f
 JOD-0019 |  2000 | 2000 | wn       | 2020-01-03 | 4062971614   | f
 USN-0175 |  2000 | 1697 | wn       | 2020-06-04 | 1584222220   | f
 HOB+0021 |  6000 | 3390 | wn       | 2020-02-28 | 6421531362   | f
 NRAO-172 |  2400 | 2400 | wn       | 2020-07-09 |              | f
 UAO-0016 |  2000 | 2000 | wn       | 2020-06-23 | 5752780390   | f
 USN-0181 |  2000 | 2000 | wn       | 2020-07-09 |              | f
 USN-0192 |  2000 | 1442 | wn       | 2020-03-17 | 5196487122   | f
 USN-0193 |  2000 | 2000 | wn       | 2020-02-28 | 6596308725   | f
 SHVL-012 |  2000 | 1588 | wn       | 2019-06-17 | 6013389745   | f
 WSRT-033 |  2000 | 2000 | wn       | 2019-06-17 | 2347396181   | f
 USN-0171 |  2000 | 2000 | wn       | 2020-07-30 | 5507100734   | f
 NRCAN-05 |  2000 | 2000 | wn       | 2020-06-23 | 2657203640   | f
 CURT-102 |  2400 | 1587 | wn       | 2019-07-04 | 7446724401   | f
 BKG-0045 |  2000 | 2000 | wn       | 2020-06-23 |              | f
 NYAL-019 |  2000 | 2000 | wn       | 2020-02-11 | 2246689362   | f
 HOB+0044 |  6000 | 6000 | wn       | 2020-03-23 | 1382157232   | f
 USN-0131 |  4000 | 3852 | wn       | 2019-10-30 | ????         | f
 HOB+1008 | 16000 | 5499 | wn       | 2019-07-22 | 2182000984   | f
